CellID	Cell type
X1000100501.B5	epsilon
X1000100501.B6	ductal
X1000100501.B7	ductal
X1000100501.B8	epsilon
X1000100501.B9	acinar
X1000100501.C1	acinar
X1000100501.C11	epsilon
X1000100501.C3	epsilon
X1000100501.C5	epsilon
X1000100501.C6	epsilon
X1000100501.C9	delta
X1000100501.D1	epsilon
X1000100501.D10	acinar
X1000100501.D11	epsilon
X1000100501.D2	epsilon
X1000100501.D4	epsilon
X1000100501.D5	acinar
X1000100501.D6	acinar
X1000100501.D9	epsilon
X1000100501.E1	epsilon
X1000100501.E10	epsilon
X1000100501.E11	epsilon
X1000100501.E12	acinar
X1000100501.E2	ductal
X1000100501.E3	acinar
X1000100501.E4	acinar
X1000100501.E5	epsilon
X1000100501.E8	acinar
X1000100501.E9	epsilon
X1000100501.F3	ductal
X1000100501.F4	ductal
X1000100501.F9	epsilon
X1000100501.G1	epsilon
X1000100501.G11	epsilon
X1000100501.G12	epsilon
X1000100501.G2	epsilon
X1000100501.G3	epsilon
X1000100501.G8	ductal
X1000100501.H1	acinar
X1000100501.H10	ductal
X1000100501.H3	epsilon
X1000100501.H4	epsilon
X1000100501.H5	epsilon
X1000100501.H7	epsilon
X1000100501.H8	ductal
X1000100501.H9	epsilon
X1000100502.A10	acinar
X1000100502.A11	epsilon
X1000100502.A2	acinar
X1000100502.A3	ductal
X1000100502.A6	acinar
X1000100502.A7	ductal
X1000100502.A8	gamma
X1000100502.A9	acinar
X1000100502.B1	ductal
X1000100502.B11	ductal
X1000100502.B2	ductal
X1000100502.B3	ductal
X1000100502.B8	ductal
X1000100502.C1	ductal
X1000100502.C11	ductal
X1000100502.C12	ductal
X1000100502.C2	ductal
X1000100502.C5	ductal
X1000100502.C6	ductal
X1000100502.C7	ductal
X1000100502.C8	ductal
X1000100502.C9	ductal
X1000100502.D10	acinar
X1000100502.D12	acinar
X1000100502.D2	acinar
X1000100502.D3	gamma
X1000100502.D5	ductal
X1000100502.D6	acinar
X1000100502.D8	ductal
X1000100502.E10	ductal
X1000100502.E11	acinar
X1000100502.E12	ductal
X1000100502.E2	acinar
X1000100502.E3	ductal
X1000100502.E4	ductal
X1000100502.E5	ductal
X1000100502.E6	epsilon
X1000100502.E7	ductal
X1000100502.E8	acinar
X1000100502.F1	ductal
X1000100502.F10	ductal
X1000100502.F11	epsilon
X1000100502.F2	ductal
X1000100502.F6	ductal
X1000100502.F7	ductal
X1000100502.G1	acinar
X1000100502.G12	epsilon
X1000100502.G3	acinar
X1000100502.G5	ductal
X1000100502.G6	ductal
X1000100502.G8	acinar
X1000100502.H11	ductal
X1000100502.H12	ductal
X1000100502.H2	acinar
X1000100502.H4	acinar
X1000100502.H6	ductal
X1000100502.H7	acinar
X1000100502.H9	acinar
X1000100801.A10	acinar
X1000100801.A2	ductal
X1000100801.A5	acinar
X1000100801.B10	acinar
X1000100801.B11	acinar
X1000100801.B12	acinar
X1000100801.B2	ductal
X1000100801.B4	ductal
X1000100801.B5	acinar
X1000100801.B7	ductal
X1000100801.B8	ductal
X1000100801.C1	ductal
X1000100801.C11	acinar
X1000100801.C12	ductal
X1000100801.C2	acinar
X1000100801.C5	acinar
X1000100801.C6	acinar
X1000100801.C8	ductal
X1000100801.C9	ductal
X1000100801.D12	ductal
X1000100801.D3	acinar
X1000100801.D4	acinar
X1000100801.D5	acinar
X1000100801.D8	ductal
X1000100801.E1	acinar
X1000100801.E10	epsilon
X1000100801.E12	ductal
X1000100801.E2	ductal
X1000100801.E6	ductal
X1000100801.E7	ductal
X1000100801.E8	acinar
X1000100801.F10	acinar
X1000100801.F11	ductal
X1000100801.F2	acinar
X1000100801.F7	acinar
X1000100801.G11	ductal
X1000100801.G12	epsilon
X1000100801.G2	acinar
X1000100801.G3	ductal
X1000100801.G4	acinar
X1000100801.G8	ductal
X1000100801.G9	epsilon
X1000100801.H10	acinar
X1000100801.H11	epsilon
X1000100801.H2	acinar
X1000100801.H3	acinar
X1000100801.H4	acinar
X1000100801.H7	ductal
X1000100801.H9	acinar
X1000100802.A3	epsilon
X1000100802.A7	acinar
X1000100802.B2	ductal
X1000100802.B3	acinar
X1000100802.B5	epsilon
X1000100802.B6	acinar
X1000100802.C1	epsilon
X1000100802.C11	acinar
X1000100802.C2	epsilon
X1000100802.C3	acinar
X1000100802.C4	epsilon
X1000100802.C7	epsilon
X1000100802.C9	epsilon
X1000100802.D11	epsilon
X1000100802.D4	epsilon
X1000100802.D7	ductal
X1000100802.E1	epsilon
X1000100802.E10	acinar
X1000100802.E11	epsilon
X1000100802.E4	epsilon
X1000100802.E8	epsilon
X1000100802.F8	acinar
X1000100802.G8	epsilon
X1000100802.H3	acinar
X1000100802.H5	epsilon
X1000100803.A11	acinar
X1000100803.A3	acinar
X1000100803.A4	epsilon
X1000100803.A8	ductal
X1000100803.A9	acinar
X1000100803.B1	acinar
X1000100803.B11	acinar
X1000100803.B5	acinar
X1000100803.C11	epsilon
X1000100803.C12	ductal
X1000100803.C2	acinar
X1000100803.C3	acinar
X1000100803.C5	acinar
X1000100803.C6	epsilon
X1000100803.C7	epsilon
X1000100803.C8	acinar
X1000100803.C9	epsilon
X1000100803.D1	acinar
X1000100803.D10	epsilon
X1000100803.D2	acinar
X1000100803.D3	acinar
X1000100803.D4	epsilon
X1000100803.D7	epsilon
X1000100803.E1	epsilon
X1000100803.E10	ductal
X1000100803.E4	epsilon
X1000100803.E8	acinar
X1000100803.F5	epsilon
X1000100803.G1	acinar
X1000100803.G11	epsilon
X1000100803.G4	ductal
X1000100803.G5	acinar
X1000100803.G7	acinar
X1000100803.H10	acinar
X1000100803.H11	acinar
X1000100803.H2	epsilon
X1000100803.H6	epsilon
X1000100803.H7	acinar
X1000100803.H8	acinar
X1000100901.A1	ductal
X1000100901.A3	acinar
X1000100901.A5	ductal
X1000100901.A6	ductal
X1000100901.B12	epsilon
X1000100901.B5	delta
X1000100901.B8	ductal
X1000100901.C7	acinar
X1000100901.D1	acinar
X1000100901.D10	acinar
X1000100901.D11	acinar
X1000100901.D2	epsilon
X1000100901.D4	ductal
X1000100901.E6	ductal
X1000100901.F11	ductal
X1000100901.F8	ductal
X1000100901.G1	acinar
X1000100901.G5	ductal
X1000100901.H6	acinar
X1000100901.H7	ductal
X1000100902.A2	acinar
X1000100902.B10	acinar
X1000100902.B11	epsilon
X1000100902.B6	acinar
X1000100902.C1	epsilon
X1000100902.C12	acinar
X1000100902.C2	acinar
X1000100902.C5	acinar
X1000100902.C6	acinar
X1000100902.C9	acinar
X1000100902.D3	acinar
X1000100902.D4	ductal
X1000100902.D8	epsilon
X1000100902.E10	epsilon
X1000100902.E12	epsilon
X1000100902.E5	acinar
X1000100902.F1	epsilon
X1000100902.F3	epsilon
X1000100902.F4	acinar
X1000100902.F6	acinar
X1000100902.F9	acinar
X1000100902.G10	epsilon
X1000100902.G5	epsilon
X1000100902.G6	acinar
X1000100902.G7	epsilon
X1000100902.H4	epsilon
X1000100902.H6	epsilon
X1000100902.H7	acinar
X1000100902.H9	acinar
X1000100903.A1	epsilon
X1000100903.A2	epsilon
X1000100903.A3	acinar
X1000100903.A6	epsilon
X1000100903.A8	epsilon
X1000100903.A9	epsilon
X1000100903.B12	epsilon
X1000100903.B4	epsilon
X1000100903.B6	epsilon
X1000100903.B9	acinar
X1000100903.C3	epsilon
X1000100903.C4	ductal
X1000100903.C9	epsilon
X1000100903.D1	acinar
X1000100903.D10	acinar
X1000100903.D5	acinar
X1000100903.D8	epsilon
X1000100903.E11	ductal
X1000100903.E12	epsilon
X1000100903.E9	epsilon
X1000100903.F10	acinar
X1000100903.F8	epsilon
X1000100903.F9	epsilon
X1000100903.G1	epsilon
X1000100903.G12	acinar
X1000100903.G7	alpha
X1000100903.H4	epsilon
X1000100903.H5	acinar
X1000100903.H7	epsilon
X1000101001.A1	acinar
X1000101001.A10	acinar
X1000101001.A3	acinar
X1000101001.A4	acinar
X1000101001.A5	acinar
X1000101001.A6	endothelial
X1000101001.A8	ductal
X1000101001.B10	acinar
X1000101001.B12	ductal
X1000101001.B3	acinar
X1000101001.B7	mesenchymal
X1000101001.B9	epsilon
X1000101001.C11	mesenchymal
X1000101001.C12	acinar
X1000101001.C3	ductal
X1000101001.C6	ductal
X1000101001.D10	acinar
X1000101001.D11	acinar
X1000101001.D12	acinar
X1000101001.D2	acinar
X1000101001.D4	acinar
X1000101001.D8	acinar
X1000101001.E1	acinar
X1000101001.E12	acinar
X1000101001.E3	ductal
X1000101001.E9	acinar
X1000101001.F5	acinar
X1000101001.F6	acinar
X1000101001.G11	ductal
X1000101001.G5	acinar
X1000101001.G6	acinar
X1000101001.H4	acinar
X1000101001.H6	acinar
X1000101002.A2	acinar
X1000101002.A3	acinar
X1000101002.A4	acinar
X1000101002.A6	acinar
X1000101002.A7	acinar
X1000101002.A8	acinar
X1000101002.B1	epsilon
X1000101002.B11	epsilon
X1000101002.B3	epsilon
X1000101002.B4	acinar
X1000101002.B5	epsilon
X1000101002.B7	acinar
X1000101002.B9	acinar
X1000101002.C10	epsilon
X1000101002.C12	acinar
X1000101002.C2	acinar
X1000101002.C7	epsilon
X1000101002.D1	epsilon
X1000101002.D6	epsilon
X1000101002.D7	epsilon
X1000101002.E1	acinar
X1000101002.E10	acinar
X1000101002.E2	acinar
X1000101002.E4	acinar
X1000101002.E6	acinar
X1000101002.E8	epsilon
X1000101002.F10	acinar
X1000101002.F12	epsilon
X1000101002.F2	acinar
X1000101002.F3	acinar
X1000101002.G12	beta
X1000101002.G2	acinar
X1000101002.G3	acinar
X1000101002.H2	epsilon
X1000101003.A2	acinar
X1000101003.A6	acinar
X1000101003.A7	acinar
X1000101003.A8	acinar
X1000101003.B1	endothelial
X1000101003.B10	epsilon
X1000101003.B11	acinar
X1000101003.B12	ductal
X1000101003.B3	ductal
X1000101003.B5	acinar
X1000101003.B7	acinar
X1000101003.B8	mesenchymal
X1000101003.C11	mesenchymal
X1000101003.C12	acinar
X1000101003.C5	ductal
X1000101003.C8	ductal
X1000101003.D1	acinar
X1000101003.D10	acinar
X1000101003.D3	acinar
X1000101003.D6	acinar
X1000101003.E10	acinar
X1000101003.E11	acinar
X1000101003.E12	acinar
X1000101003.E2	acinar
X1000101003.E4	acinar
X1000101003.E6	acinar
X1000101003.E9	ductal
X1000101003.F11	acinar
X1000101003.F2	acinar
X1000101003.F3	acinar
X1000101003.F4	acinar
X1000101003.F5	ductal
X1000101003.G1	acinar
X1000101003.G10	acinar
X1000101003.G4	acinar
X1000101003.G7	ductal
X1000101003.H10	acinar
X1000101003.H12	acinar
X1000101003.H3	acinar
X1000101003.H5	acinar
X1000101003.H8	acinar
X1000101003.H9	acinar
X1000101004.A2	epsilon
X1000101004.A6	acinar
X1000101004.A7	epsilon
X1000101004.A8	epsilon
X1000101004.A9	acinar
X1000101004.B1	epsilon
X1000101004.B10	acinar
X1000101004.B11	acinar
X1000101004.B12	epsilon
X1000101004.B3	epsilon
X1000101004.B5	epsilon
X1000101004.B7	acinar
X1000101004.B8	acinar
X1000101004.C11	acinar
X1000101004.C12	acinar
X1000101004.C5	acinar
X1000101004.C8	acinar
X1000101004.D1	epsilon
X1000101004.D10	beta
X1000101004.D3	acinar
X1000101004.D6	acinar
X1000101004.E10	acinar
